year,month,total_emission,factory_emission,transport_emission,energy_emission,waste_emission,green_score
2023,1,1850.50,740.20,462.63,370.10,277.57,72.5
2023,2,1720.30,688.12,430.08,344.06,258.04,75.0
2023,3,1640.80,656.32,410.20,328.16,246.12,77.3
2023,4,1580.20,632.08,395.05,316.04,237.03,78.5
2023,5,1510.60,604.24,377.65,302.12,226.59,80.1
2023,6,1490.90,596.36,372.73,298.18,223.63,81.2
2023,7,1520.40,608.16,380.10,304.08,228.06,79.8
2023,8,1560.70,624.28,390.18,312.14,234.10,78.9
2023,9,1480.50,592.20,370.13,296.10,222.07,81.5
2023,10,1530.20,612.08,382.55,306.04,229.53,80.3
2023,11,1610.30,644.12,402.58,322.06,241.54,76.8
2023,12,1780.60,712.24,445.15,356.12,267.09,73.2
2024,1,1820.40,728.16,455.10,364.08,273.06,73.8
2024,2,1690.50,676.20,422.63,338.10,253.57,76.2
2024,3,1610.80,644.32,402.70,322.16,241.62,78.0
2024,4,1545.90,618.36,386.48,309.18,232.88,79.5
2024,5,1480.20,592.08,370.05,296.04,222.03,81.3
2024,6,1460.70,584.28,365.18,292.14,219.10,82.1
2024,7,1500.30,600.12,375.08,300.06,225.04,80.7
2024,8,1540.80,616.32,385.20,308.16,231.12,79.4
2024,9,1455.60,582.24,363.90,291.12,218.34,82.5
2024,10,1495.30,598.12,373.83,298.06,225.29,81.0
2024,11,1578.40,631.36,394.60,315.68,237.36,77.5
2024,12,1750.20,700.08,437.55,350.04,262.53,74.1
